nom_iris,code_postal,nom_commune,score_global,score_acces_intnum,score_acces_info,score_comp_admin,score_comp_numsco,region_id,departement_id
L'Abergement-Clémenciat,10200,L'Abergement-Clémenciat,78,104,53,75,91,1,1
L'Abergement-de-Varey,10700,L'Abergement-de-Varey,75,107,63,65,77,1,1
Les Perouses-Triangle d'Activite,10130,Ambérieu-en-Bugey,120,92,125,154,111,1,1
Longeray-Gare,10130,Ambérieu-en-Bugey,114,92,136,126,97,1,1
Centre-St Germain-Vareilles,10130,Ambérieu-en-Bugey,115,92,135,116,104,1,1
Tiret-Les Allymes,10130,Ambérieu-en-Bugey,83,92,84,90,75,1,1
Ambérieux-en-Dombes,10140,Ambérieux-en-Dombes,83,109,62,86,91,1,1
Ambléon,10450,Ambléon,81,0,101,82,101,1,1
Ambronay,10110,Ambronay,84,103,79,81,82,1,1
Ambutrix,10210,Ambutrix,84,114,80,96,67,1,1
Andert-et-Condon,10250,Andert-et-Condon,97,108,96,62,109,1,1
Anglefort,10200,Anglefort,90,106,87,81,91,1,1
Apremont,10270,Apremont,69,105,35,66,86,1,1
Aranc,10200,Aranc,97,103,90,50,124,1,1
Arandas,10700,Arandas,73,93,42,58,102,1,1
Arbent,10130,Arbent,95,95,72,81,124,1,1
Arboys en Bugey,10200,Arboys en Bugey,87,103,64,81,105,1,1
Arbigny,10140,Arbigny,74,99,35,76,98,1,1
Argis,10250,Argis,93,89,92,55,115,1,1
Armix,10270,Armix,65,0,46,94,103,1,1
Ars-sur-Formans,10200,Ars-sur-Formans,80,108,66,89,76,1,1
Artemare,10510,Artemare,98,91,89,81,119,1,1
Asnières-sur-Saône,10600,Asnières-sur-Saône,57,0,46,59,95,1,1
Attignat,10270,Attignat,81,101,71,87,79,1,1
Bâgé-la-Ville,10140,Bâgé-la-Ville,78,101,58,74,88,1,1
Bâgé-le-Châtel,10800,Bâgé-le-Châtel,104,98,81,106,127,1,1
Balan,10510,Balan,98,108,64,237,58,1,1
Baneins,10200,Baneins,75,107,45,90,82,1,1
Beaupont,10160,Beaupont,98,89,99,75,112,1,1
Beauregard,10240,Beauregard,101,94,122,103,83,1,1
Bellignat,10140,Bellignat,104,88,102,105,114,1,1
Béligneux,10280,Béligneux,83,96,76,93,78,1,1
Coupy-Vanchy,10200,Bellegarde-sur-Valserine,97,91,94,95,104,1,1
Centre Ville,10200,Bellegarde-sur-Valserine,123,91,144,117,121,1,1
Arc Vouvray-Gare-Chatillon,10200,Bellegarde-sur-Valserine,92,91,78,88,108,1,1
Plateau de Musinens,10200,Bellegarde-sur-Valserine,105,91,103,95,119,1,1
Arlod,10200,Bellegarde-sur-Valserine,87,91,61,97,106,1,1
Ouest,10120,Belley,100,87,105,105,99,1,1
Centre et Est,10120,Belley,120,87,139,86,135,1,1
Sud Ouest,10120,Belley,109,87,115,83,126,1,1
Belleydoux,10160,Belleydoux,78,107,67,65,81,1,1
Belmont-Luthézieu,10120,Belmont-Luthézieu,91,99,102,71,86,1,1
Bénonces,10700,Bénonces,80,93,52,67,108,1,1
Bény,10700,Bény,82,103,65,77,93,1,1
Béon,10200,Béon,82,94,59,76,101,1,1
Béréziat,10700,Béréziat,70,101,46,75,76,1,1
Bettant,10160,Bettant,92,106,93,87,86,1,1
Bey,10370,Bey,84,109,82,75,78,1,1
Beynost,10700,Beynost,90,121,73,94,90,1,1
Billiat,10200,Billiat,89,118,76,96,83,1,1
Birieux,10450,Birieux,77,109,68,80,70,1,1
Biziat,10460,Biziat,71,101,46,77,79,1,1
Blyes,10470,Blyes,79,120,71,91,61,1,1
La Boisse,10490,La Boisse,84,117,61,94,87,1,1
Boissey,10500,Boissey,76,91,49,73,98,1,1
Bolozon,10510,Bolozon,65,0,46,50,124,1,1
Bouligneux,10520,Bouligneux,99,121,90,79,107,1,1
Centre-Ville,10530,Bourg-en-Bresse,153,85,209,222,98,1,1
Champ-de-Foire,10530,Bourg-en-Bresse,139,85,177,141,126,1,1
Prefecture,10530,Bourg-en-Bresse,133,85,159,141,127,1,1
Citadelle,10530,Bourg-en-Bresse,126,85,156,114,123,1,1
Mail,10530,Bourg-en-Bresse,125,85,167,135,98,1,1
Peloux,10530,Bourg-en-Bresse,120,85,162,121,96,1,1
Gare,10530,Bourg-en-Bresse,121,85,160,173,74,1,1
Brou,10530,Bourg-en-Bresse,121,85,175,123,83,1,1
Vennes-Ouest,10530,Bourg-en-Bresse,125,85,125,75,170,1,1
Vennes-Est,10530,Bourg-en-Bresse,104,85,106,107,110,1,1
Baudieres,10530,Bourg-en-Bresse,116,85,116,81,148,1,1
Sardieres,10530,Bourg-en-Bresse,98,85,101,92,105,1,1
Croix-Blanche,10530,Bourg-en-Bresse,113,85,133,94,118,1,1
Pont-des-Chevres,10530,Bourg-en-Bresse,125,85,128,118,147,1,1
Reyssouze-Ouest,10530,Bourg-en-Bresse,130,85,161,97,139,1,1
Reyssouze-Est,10530,Bourg-en-Bresse,127,85,154,107,132,1,1
Cenord-Grand-Challes,10530,Bourg-en-Bresse,102,85,70,74,156,1,1
Granges-Bardes-Alagnier,10530,Bourg-en-Bresse,100,85,89,150,94,1,1
Bourg-Saint-Christophe,10540,Bourg-Saint-Christophe,72,114,58,77,62,1,1
Boyeux-Saint-Jérôme,10560,Boyeux-Saint-Jérôme,82,98,64,58,103,1,1
Boz,10570,Boz,90,95,92,86,88,1,1
Brégnier-Cordon,10580,Brégnier-Cordon,89,96,85,80,95,1,1
Brénaz,10590,Brénaz,90,94,46,96,130,1,1
Brénod,10600,Brénod,97,106,83,92,110,1,1
Brens,10610,Brens,71,107,41,79,79,1,1
Bressolles,10620,Bressolles,81,124,61,90,73,1,1
Brion,10630,Brion,105,105,109,71,120,1,1
Briord,10640,Briord,81,96,67,95,81,1,1
Buellas,10650,Buellas,72,110,33,83,86,1,1
La Burbanche,10660,La Burbanche,71,0,59,79,116,1,1
Ceignes,10670,Ceignes,78,102,64,77,80,1,1
Cerdon,10680,Cerdon,98,94,101,76,108,1,1
Certines,10690,Certines,83,107,80,95,67,1,1
Cessy,10710,Cessy,93,173,98,93,48,1,1
Ceyzériat,10720,Ceyzériat,92,107,89,79,94,1,1
Ceyzérieu,10730,Ceyzérieu,86,101,79,61,99,1,1
Chalamont,10740,Chalamont,91,98,79,88,102,1,1
Chaleins,10750,Chaleins,75,106,50,100,71,1,1
Chaley,10760,Chaley,98,95,55,65,160,1,1
Challes-la-Montagne,10770,Challes-la-Montagne,84,98,93,58,81,1,1
Challex,10780,Challex,93,190,66,81,79,1,1
Champagne-en-Valromey,10790,Champagne-en-Valromey,106,97,111,64,126,1,1
Champdor-Corcelles,10800,Champdor-Corcelles,83,96,63,71,104,1,1
Champfromier,10810,Champfromier,87,107,74,84,90,1,1
Chanay,10820,Chanay,103,110,127,115,68,1,1
Chaneins,10830,Chaneins,74,105,46,87,80,1,1
Chanoz-Châtenay,10840,Chanoz-Châtenay,84,97,77,83,85,1,1
La Chapelle-du-Châtelard,10850,La Chapelle-du-Châtelard,65,102,33,68,76,1,1
Charix,10870,Charix,101,111,112,85,94,1,1
Charnoz-sur-Ain,10880,Charnoz-sur-Ain,78,119,63,94,63,1,1
Château-Gaillard,10890,Château-Gaillard,77,103,50,89,85,1,1
Châtenay,10900,Châtenay,89,101,86,71,95,1,1
Châtillon-en-Michaille,10910,Châtillon-en-Michaille,88,119,79,94,76,1,1
Châtillon-la-Palud,10920,Châtillon-la-Palud,85,106,72,74,93,1,1
Châtillon-sur-Chalaronne,10930,Châtillon-sur-Chalaronne,115,97,117,90,136,1,1
Chavannes-sur-Reyssouze,10940,Chavannes-sur-Reyssouze,91,97,81,71,107,1,1
Nivigne et Suran,10950,Nivigne et Suran,83,95,75,84,84,1,1
Chaveyriat,10960,Chaveyriat,86,100,81,88,83,1,1
Chavornay,10970,Chavornay,94,99,91,76,103,1,1
Chazey-Bons,10980,Chazey-Bons,86,94,68,82,104,1,1
Chazey-sur-Ain,10990,Chazey-sur-Ain,81,111,67,84,77,1,1
Cheignieu-la-Balme,11000,Cheignieu-la-Balme,94,94,74,48,138,1,1
Chevillard,11700,Chevillard,74,103,39,97,82,1,1
Chevroux,11800,Chevroux,73,100,49,72,83,1,1
Chevry,11410,Chevry,84,182,61,91,55,1,1
Chézery-Forens,11200,Chézery-Forens,94,108,94,98,86,1,1
Civrieux,11500,Civrieux,85,119,73,102,73,1,1
Cize,11200,Cize,109,89,134,55,122,1,1
Cleyzieu,11170,Cleyzieu,94,104,96,58,106,1,1
Coligny,11230,Coligny,103,98,80,71,144,1,1
Collonges,11300,Collonges,87,140,86,90,60,1,1
Colomieu,11200,Colomieu,118,92,154,47,129,1,1
Conand,11800,Conand,72,91,55,66,81,1,1
Condamine,11300,Condamine,73,103,56,78,73,1,1
Condeissiat,11170,Condeissiat,85,93,67,86,99,1,1
Confort,11200,Confort,86,120,46,63,120,1,1
Confrançon,11390,Confrançon,85,96,84,99,73,1,1
Contrevoz,11200,Contrevoz,102,96,108,71,114,1,1
Conzieu,11400,Conzieu,67,85,64,65,63,1,1
Corbonod,11380,Corbonod,97,111,91,68,112,1,1
Corlier,11200,Corlier,89,95,105,97,66,1,1
Cormaranche-en-Bugey,11800,Cormaranche-en-Bugey,83,107,54,91,97,1,1
Cormoranche-sur-Saône,11200,Cormoranche-sur-Saône,80,104,57,71,97,1,1
Cormoz,11190,Cormoz,96,98,85,79,113,1,1
Corveissiat,11800,Corveissiat,76,98,45,88,90,1,1
Courmangoux,11350,Courmangoux,91,102,93,51,105,1,1
Courtes,11700,Courtes,99,94,97,99,103,1,1
Crans,11800,Crans,90,102,64,73,119,1,1
Cras-sur-Reyssouze,11400,Cras-sur-Reyssouze,82,103,85,77,73,1,1
Cressin-Rochefort,11800,Cressin-Rochefort,74,100,41,79,92,1,1
Crottet,11170,Crottet,85,104,69,76,95,1,1
Crozet,11500,Crozet,79,168,63,81,50,1,1
Cruzilles-lès-Mépillat,11300,Cruzilles-lès-Mépillat,85,105,66,88,93,1,1
Culoz,11230,Culoz,105,91,107,89,118,1,1
Curciat-Dongalon,11200,Curciat-Dongalon,101,87,93,66,133,1,1
Curtafond,11200,Curtafond,86,105,58,88,105,1,1
Cuzieu,11600,Cuzieu,95,106,84,81,108,1,1
Dagneux,11800,Dagneux,85,106,75,101,77,1,1
Centre,11400,Divonne-les-Bains,106,197,102,78,78,1,1
Nord Ouest,11400,Divonne-les-Bains,87,197,67,67,63,1,1
Sud Ouest,11400,Divonne-les-Bains,101,197,101,71,70,1,1
Dompierre-sur-Veyle,11450,Dompierre-sur-Veyle,82,96,58,82,98,1,1
Dompierre-sur-Chalaronne,11460,Dompierre-sur-Chalaronne,66,102,34,83,72,1,1
Domsure,11470,Domsure,84,88,54,77,114,1,1
Dortan,11480,Dortan,91,102,80,85,99,1,1
Douvres,11490,Douvres,77,116,66,78,68,1,1
Drom,11500,Drom,74,109,59,91,62,1,1
Druillat,11510,Druillat,89,103,67,67,114,1,1
Échallon,11520,Échallon,76,117,55,64,83,1,1
Échenevex,11530,Échenevex,86,206,76,66,47,1,1
Étrez,11540,Étrez,73,95,56,83,76,1,1
Évosges,11550,Évosges,87,97,82,62,100,1,1
Faramans,11560,Faramans,66,111,39,75,68,1,1
Fareins,11570,Fareins,84,113,60,81,93,1,1
Farges,11580,Farges,96,165,98,82,65,1,1
Feillens,11590,Feillens,97,100,80,94,113,1,1
Ouest,11600,Ferney-Voltaire,95,120,123,96,56,1,1
Centre,11600,Ferney-Voltaire,101,120,128,94,68,1,1
Est,11600,Ferney-Voltaire,121,120,175,105,77,1,1
Flaxieu,11620,Flaxieu,55,0,27,60,108,1,1
Foissiat,11630,Foissiat,91,98,75,86,107,1,1
Francheleins,11650,Francheleins,69,107,46,74,70,1,1
Frans,11660,Frans,89,114,83,93,80,1,1
Garnerans,11670,Garnerans,82,103,63,78,93,1,1
Genouilleux,11690,Genouilleux,72,108,49,85,70,1,1
Béard-Géovreissiat,11700,Béard-Géovreissiat,77,98,73,81,69,1,1
Géovreisset,11710,Géovreisset,79,102,51,87,92,1,1
Centre,11730,Gex,104,148,112,125,64,1,1
Ouest,11730,Gex,93,148,96,96,59,1,1
Est,11730,Gex,94,148,95,138,45,1,1
Giron,11740,Giron,104,107,138,85,79,1,1
Gorrevod,11750,Gorrevod,86,92,73,84,98,1,1
Grand-Corent,11770,Grand-Corent,68,100,43,31,96,1,1
Grièges,11790,Grièges,92,102,81,72,109,1,1
Grilly,11800,Grilly,91,200,60,72,75,1,1
Groissiat,11810,Groissiat,80,107,67,76,80,1,1
Guéreins,11830,Guéreins,71,108,34,73,90,1,1
Hautecourt-Romanèche,11840,Hautecourt-Romanèche,84,97,72,67,98,1,1
Hauteville-Lompnes,11850,Hauteville-Lompnes,115,97,116,88,136,1,1
Hostiaz,11860,Hostiaz,66,0,52,32,130,1,1
Haut Valromey,11870,Haut Valromey,88,99,70,77,107,1,1
Illiat,11880,Illiat,88,103,79,65,100,1,1
Injoux-Génissiat,11890,Injoux-Génissiat,80,121,51,106,76,1,1
Innimond,11900,Innimond,91,0,93,57,152,1,1
Izenave,11910,Izenave,80,87,39,90,112,1,1
Izernore,11920,Izernore,91,101,86,94,90,1,1
Izieu,11930,Izieu,88,99,68,75,109,1,1
Nord,11940,Jassans-Riottier,105,100,99,95,117,1,1
Sud,11940,Jassans-Riottier,92,100,86,83,97,1,1
Jasseron,11950,Jasseron,90,110,90,74,90,1,1
Jayat,11960,Jayat,77,97,56,83,84,1,1
Journans,11970,Journans,79,120,66,68,78,1,1
Joyeux,11980,Joyeux,81,105,72,103,67,1,1
Jujurieux,11990,Jujurieux,101,96,112,89,98,1,1
Labalme,12000,Labalme,91,96,91,94,88,1,1
Nord,12510,Lagnieu,95,100,90,98,95,1,1
Sud,12510,Lagnieu,106,100,108,91,113,1,1
Laiz,12200,Laiz,76,102,44,93,88,1,1
